gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,cusip,curcd,at,bkvlps,ceq,dltt,dt,ni,pi,txt,costat
1380,20141231,2014,INDL,C,D,STD,42809H107,USD,38578,77.6847,22205,5919,5987,2317,2436,744,A
1380,20151231,2015,INDL,C,D,STD,42809H107,USD,34195,67.7723,19386,6544,6630,-3056,-4258,-1299,A
1478,20061231,2006,INDL,C,D,STD,983024100,USD,36478.715,10.8922,14652.727,9096.743,9220.968,4196.706,5429.904,1233.198,I
1478,20071231,2007,INDL,C,D,STD,983024100,USD,42717.282,13.6124,18210.512,11492.881,11804.467,4615.96,6456.682,1840.722,I
1478,20081231,2008,INDL,C,D,STD,983024100,USD,44031.724,14.3996,19173.82,10826.013,11739.258,4417.833,6338.087,1920.254,I
1567,20061231,2006,INDL,C,D,STD,892893108,USD,7413.1,4.62,923.5,1600.7,1623.8,541,759.9,205.2,I
1567,20071231,2007,INDL,C,D,STD,892893108,USD,5097.3,2.7676,538.2,687.2,1031,286.3,608,202.2,I
1661,20061231,2006,INDL,C,D,STD,G6359F103,USD,9142.303,12.768,3536.653,4004.074,4004.074,1020.736,1470.919,450.183,A
1661,20071231,2007,INDL,C,D,STD,G6359F103,USD,10103.382,16.1602,4514.121,3306.433,4006.433,930.691,1135.331,239.664,A
1661,20081231,2008,INDL,C,D,STD,G6359F103,USD,10467.982,16.5841,4692.119,3887.711,4112.741,551.173,801.624,250.451,A
1661,20091231,2009,INDL,C,D,STD,G6359F103,USD,10644.69,18.1639,5167.656,3940.605,3940.768,-85.546,-235.116,-149.228,A
1661,20101231,2010,INDL,C,D,STD,G6359F103,USD,11646.569,18.6344,5328.162,3064.126,4443.144,95.445,82.046,-24.814,A
1661,20111231,2011,INDL,C,D,STD,G6359F103,USD,12912.14,19.407,5587.815,4348.49,4623.816,246.679,487.769,142.605,A
1661,20121231,2012,INDL,C,D,STD,G6359F103,USD,12656.022,20.4516,5944.929,4379.336,4379.7,167.034,274.683,32.628,A
1661,20131231,2013,INDL,C,D,STD,G6359F103,USD,12159.811,20.1942,5969.086,3904.117,3914.302,142.982,106.16,-55.181,A
1661,20141231,2014,INDL,C,D,STD,G6359F103,USD,11879.942,16.9609,4908.619,4348.859,4355.049,-668.675,-604.615,62.666,A
1661,20151231,2015,INDL,C,D,STD,G6359F103,USD,9537.84,15.231,4282.71,3655.2,3661.708,-372.675,-427.535,-98.038,A
1995,20061231,2006,INDL,C,D,STD,210371100,USD,21801.6,25.5336,4609.3,4222.3,,949.6,1112.8,351,I
1995,20071231,2007,INDL,C,D,STD,210371100,USD,21945.7,29.9276,5340.2,4660.5,,834.7,1263.9,428.3,I
1995,20081231,2008,INDL,C,D,STD,210371100,USD,22284.1,15.9766,3181.4,5098.7,,-1301.2,-1379.5,-78.3,I
1995,20091231,2009,INDL,C,D,STD,210371100,USD,23544.4,43.2724,8697.1,4814,,4503.4,7490.2,2986.8,I
1995,20101231,2010,INDL,C,D,STD,210371100,USD,20018.5,39.1873,7829.2,4448.8,,-931.8,-1597.5,-665.7,I
1995,20111231,2011,INDL,C,D,STD,210371100,USD,19412.6,35.173,7093.9,4844.8,,-306.8,-537.7,-230.9,I
2136,20061231,2006,INDL,C,D,STD,92343V104,USD,188804,16.6701,48535,28646,32785,6197,12192,2674,A
2136,20071231,2007,INDL,C,D,STD,92343V104,USD,186959,17.5822,50581,28203,30767,5521,14545,3982,A
2136,20081231,2008,INDL,C,D,STD,92343V104,USD,202352,14.6825,41706,46959,50465,6428,15914,3331,A
2136,20091231,2009,INDL,C,D,STD,92343V104,USD,227251,14.6724,41606,55051,61156,3651,11568,1210,A
2136,20101231,2010,INDL,C,D,STD,92343V104,USD,220005,13.643,38569,45252,52794,2549,12684,2467,A
2136,20111231,2011,INDL,C,D,STD,92343V104,USD,230461,12.6922,35970,50303,53218,2404,10483,285,A
2136,20121231,2012,INDL,C,D,STD,92343V104,USD,225222,11.5992,33157,47618,51487,875,9897,-660,A
2136,20131231,2013,INDL,C,D,STD,92343V104,USD,274098,13.5695,38836,89658,93144,11497,29277,5730,A
2136,20141231,2014,INDL,C,D,STD,92343V104,USD,232708,2.9598,12298,110536,112933,9625,15270,3314,A
2136,20151231,2015,INDL,C,D,STD,92343V104,USD,244640,4.0332,16428,103705,110030,17879,28240,9865,A
2270,20061231,2006,INDL,C,D,STD,G3157S106,USD,4334.4,21.1858,3216,308.5,475.6,769.7,1011.3,252.7,A
2270,20071231,2007,INDL,C,D,STD,G3157S106,USD,4968.8,26.0737,3752,291.4,310.5,992,1253.7,261.7,A
2270,20081231,2008,INDL,C,D,STD,G3157S106,USD,5830.1,32.9824,4676.9,274.3,291.5,1150.8,1402.4,242.4,A
2270,20091231,2009,INDL,C,D,STD,G3157S106,USD,6747.2,38.5773,5499.2,257.2,274.4,779.4,959.3,178.4,A
2270,20101231,2010,INDL,C,D,STD,G3157S106,USD,7051.5,41.6894,5959.5,240.1,257.3,579.5,644.5,96,A
2270,20111231,2011,INDL,C,D,STD,G3157S106,USD,17871.2,47.1067,10879.3,4877.6,4925.1,600.4,736.6,131,A
2270,20121231,2012,INDL,C,D,STD,G3157S106,USD,18565.3,50.9632,11846.4,4798.4,4845.9,1169.7,1466.6,244.4,A
2270,20131231,2013,INDL,C,D,STD,G3157S106,USD,19472.9,54.7703,12791.6,4718.9,4766.4,1418.2,1658.5,225.6,A
